2021-05-23 05:15:58,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/laKb7spIf5';;;
2021-05-23 05:15:58,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/My7zt5hhsl';;;
2021-05-23 05:15:56,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/ppUYm2LI3f';;;
2021-05-23 05:15:56,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/psxoWE5lMo';;;
2021-05-23 05:15:55,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/hlwUZ8WgC7';;;
2021-05-23 05:15:40,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/PSLzZvyGmC';;;
2021-05-23 05:15:28,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/AeCts97O0j';;;
2021-05-23 05:15:17,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/mgLKTNh8TY';;;
2021-05-23 05:14:28,b'RT @LokadataID: Wiku Adisasmito mengingatkan agar masyarakat tidak terlena dengan data penurunan kasus Covid-19. Pasalnya efek dari momentu\xe2\x80\xa6';;;
2021-05-23 05:13:41,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/f2pYpNKVx6';;;
2021-05-23 05:13:05,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/DbJgbTlK1w';;;
2021-05-23 05:12:58,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/btYa1FnUBX';;;
2021-05-23 05:12:45,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/a7LhlMjHzW';;;
2021-05-23 05:12:25,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/rNN3SFZgTG';;;
2021-05-23 05:12:20,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/syo5z0PnIO';;;
2021-05-23 05:12:08,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/3ZMJdzjGLj';;;
2021-05-23 05:11:57,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/5RBeS6qRlO';;;
2021-05-23 05:11:50,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/ofyvuaccvP';;;
2021-05-23 05:11:44,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/Q7aa0wQDUx';;;
2021-05-23 05:08:55,b'RT @AndriSuriawan: @GOONJOL @cityguide911fm @LalinNews @RRIMalang @Senaputra_FM @kabmalanginfo @infomalang @infoKWB Serius iki mas... saya\xe2\x80\xa6';;;
"2021-05-23 05:08:40,""b'RT @AndriSuriawan: #TrafficReport waspadai kepadatan dari malang menuju batu (semua jalur), larangan mudik++, tidak mengurangi antusias mas\xe2\x80\xa6'""";;;
2021-05-23 04:59:06,b'PT KAI menilai para pengguna kereta api cukup taat dengan aturan pemerintah yang meniadakan mudik lebaran.\xe2\x80\xa6 https://t.co/8jJy2o54Hq';;;
2021-05-23 04:58:18,b'@detikcom Trus LARANGAN MUDIK PIYE CAK ??? YO OPO SEH TAMBAH SIPAE';;;
2021-05-23 04:36:08,b'@antaranews Tanya sama MEDIA dan publik figur yg DENGAN KASAR membenturkan Kedatangan TKA CHINA vs LARANGAN mudik\xe2\x80\xa6 https://t.co/kS9HBwlirj';;;
"2021-05-23 04:35:50,""b'RT @AndriSuriawan: #TrafficReport waspadai kepadatan dari malang menuju batu (semua jalur), larangan mudik++, tidak mengurangi antusias mas\xe2\x80\xa6'""";;;
"2021-05-23 04:32:52,""b'RT @vickyverryangga: @JatimPemprov @KhofifahIP Saya menghargai permintaan maaf bu Gub/pemprov jatim\nBagi saya, adanya acara itu, baik dg em\xe2\x80\xa6'""";;;
"2021-05-23 04:28:30,""b'@detikcom Asyek, ini namanya Herd Immunity \xf0\x9f\xa4\xa3\nPemerintah daerah bandung apakabarnya...??\nKok ga dilarang dlm kondisi\xe2\x80\xa6 https://t.co/9pz7KSNfhE'""";;;
2021-05-23 04:25:14,b'@GOONJOL @cityguide911fm @LalinNews @RRIMalang @Senaputra_FM @kabmalanginfo @infomalang @infoKWB Serius iki mas...\xe2\x80\xa6 https://t.co/WJZcNyz9Rf';;;
"2021-05-23 04:21:05,""b'RT @detikTravel: Larangan Mudik Berakhir, Malioboro-Tugu Penuh Wisatawan https://t.co/Zi4NpWNn66'""";;;
"2021-05-23 04:20:23,""b'Larangan Mudik Berakhir, Malioboro-Tugu Penuh Wisatawan https://t.co/Zi4NpWNn66'""";;;
"2021-05-23 04:17:45,""b'RT @AndriSuriawan: #TrafficReport waspadai kepadatan dari malang menuju batu (semua jalur), larangan mudik++, tidak mengurangi antusias mas\xe2\x80\xa6'""";;;
"2021-05-23 04:15:06,""b'RT @AndriSuriawan: #TrafficReport waspadai kepadatan dari malang menuju batu (semua jalur), larangan mudik++, tidak mengurangi antusias mas\xe2\x80\xa6'""";;;
"2021-05-23 04:13:53,""b'#TrafficReport waspadai kepadatan dari malang menuju batu (semua jalur), larangan mudik++, tidak mengurangi antusia\xe2\x80\xa6 https://t.co/ucu88kU71n'""";;;
"2021-05-23 04:08:49,""b'@detikcom Kasian pemerintah, sudah capek\xc2\xb2 sosialisasi dan menegakan aturan larangan Mudik dikarenakan pandemi, skg\xe2\x80\xa6 https://t.co/V6nRfhjh7i'""";;;
2021-05-23 04:06:59,b'Anggota Satuan Lalulintas Polres Tanggamus berserta instansi terkait melaksanakan penyekatan terhadap pemudik di Po\xe2\x80\xa6 https://t.co/JEsL2SF8Ek';;;
2021-05-23 03:31:16,b'RT @LokadataID: Wiku Adisasmito mengingatkan agar masyarakat tidak terlena dengan data penurunan kasus Covid-19. Pasalnya efek dari momentu\xe2\x80\xa6';;;
"2021-05-23 03:13:52,""b'Selama Masa Larangan Mudik, Lalu Lintas Penerbangan di Indonesia Hanya 48 Persen Dari Kondisi Normal https://t.co/pfM5eadPx0'""";;;
"2021-05-23 03:09:27,""b'@ivrinaaz @IkhmawanNur Untuk syarat dan ketentuan penyeberangan setelah pasca larangan mudik, silakan menghubungi k\xe2\x80\xa6 https://t.co/TUYVCqfbwI'""";;;
2021-05-23 02:51:28,b'RT @LokadataID: Wiku Adisasmito mengingatkan agar masyarakat tidak terlena dengan data penurunan kasus Covid-19. Pasalnya efek dari momentu\xe2\x80\xa6';;;
2021-05-23 02:50:00,b'Wiku Adisasmito mengingatkan agar masyarakat tidak terlena dengan data penurunan kasus Covid-19. Pasalnya efek dari\xe2\x80\xa6 https://t.co/dYr31ZI6mK';;;
2021-05-23 02:48:40,b'Angkasa Pura II Catat Tingkat Ketepatan Waktu Terbang Maskapai Capai 94 persen pada Masa Larangan Mudik https://t.co/ZZ6WNKQQKW';;;
"2021-05-23 02:08:46,""b'Sebanyak 170 lebih warga China kembali datang ke Indonesia dgn mudah, diduga dampak Omnibus Law UU Ciptaker No.11 2\xe2\x80\xa6 https://t.co/kistPGhNVm'""";;;
"2021-05-23 01:43:50,""b'Sebanyak 170 lebih warga China kembali datang ke Indonesia dengan mudah, diduga dampak Omnibus Law UU Ciptaker No.1\xe2\x80\xa6 https://t.co/RlD5AKxNGt'""";;;
"2021-05-23 01:05:32,""b'RT @HadaitFiman: Mana polisinya? mana brimobnya? mana satpol ppnya? Larangan mudik Siaga 1, Sholat Id dibuat mencekam ,Tempat wisata tuh ka\xe2\x80\xa6'""";;;
"2021-05-23 00:45:49,""b'Sampe sekarang masih mikir... Yg dilarang itu mudik nya atau merayakan lebaran? \nSetelah lebaran, mudik sudah gak a\xe2\x80\xa6 https://t.co/yJXpRcbKRv'""";;;
"2021-05-23 00:43:26,""b'RT @MMC_IDN2: Saat ada larangan mudik lebaran, pemerintah justru membuka tempat wisata. Para ahli kesehatan, telah mengingatkan bahwa pembu\xe2\x80\xa6'""";;;
"2021-05-23 00:19:55,""b'@aiw_my \xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\n\nTiap ada wacana OPEN, ada kelompok setan yang teriakin pemerintah seolah bakal jadi genosida. \n\nBahkan\xe2\x80\xa6 https://t.co/m0bNPSN6A2'""";;;
"2021-05-23 00:12:56,""b'@anggikgik Informasi lebih lanjut perihal ketentuan penerbangan, silahkan akses link :\nhttps://t.co/Mk2B4LKVpR\n\nSel\xe2\x80\xa6 https://t.co/NX27MUSxWA'""";;;
2021-05-22 23:42:10,b'KIJANG 1135 MELAKSANAKAN PEMASANGAN STIKER HIMBAUAN PAKAI MASKER DAN LARANGAN MUDIK\n\nPolda Bali - Polres Klungkung\xe2\x80\xa6 https://t.co/Kgi5f4DlTD';;;
"2021-05-22 23:38:18,""b'RT @sofians: Bukankah kemaren, ditengah larangan mudik bagi masyarakat, si tai babi @jokowi juga mudik?'""";;;
2021-05-22 23:02:34,b'RT @IDNTimesJogja: Kebijakan larangan mudik berpengaruh ke omzet https://t.co/6oM65nJ0y2';;;
2021-05-22 23:02:03,b'Kebijakan larangan mudik berpengaruh ke omzet https://t.co/6oM65nJ0y2';;;
"2021-05-22 22:50:28,""b'whyyyyy pemerintah tiap buat aturan tuh bikin ngakak mulu dah, aku aja yg ga jago soal aturan2 jg udh memprediksi p\xe2\x80\xa6 https://t.co/NLgewAem2R'""";;;
"2021-05-22 22:49:50,""b'Sebanyak 170 lebih warga China kembali datang ke Indonesia dgn mudah, diduga dampak Omnibus Law UU Ciptaker No.11 T\xe2\x80\xa6 https://t.co/oNAnniWSfh'""";;;
2021-05-22 22:47:05,b'Kebijakan larangan mudik berpengaruh ke omzet https://t.co/wtIDiKuj2U';;;
"2021-05-22 22:44:30,""b'Okelah pemerintah larang mudik selama tgl 6 - 17 mei utk menghindari kerumunan pemudik (katanya), kemudian mulai tg\xe2\x80\xa6 https://t.co/YOVRMrRTbR'""";;;
"2021-05-22 18:24:05,""b'Bukankah kemaren, ditengah larangan mudik bagi masyarakat, si tai babi @jokowi juga mudik? https://t.co/MI8sKFAqoU'""";;;
2021-05-22 17:49:12,b'\xe2\x80\x9cSekitar dana pemerintah daerah Rp 182 triliun mengendap perbankan. Padahal selama larangan mudik pemulihan ekonomi\xe2\x80\xa6 https://t.co/ZCf4Q8wsy8';;;
"2021-05-22 17:40:27,""b'Masker? Social distancing? Online Class? Libur 14 Hari? PSBB? Larangan Mudik?\n\nAyolah bangun teman, kita ini hidup\xe2\x80\xa6 https://t.co/K4r5S4854B'""";;;
"2021-05-22 16:27:35,""b'Trend sudah terlihat. Pasca lebaran, terjadi peningkatan jumlah kasus. Hal yg sangat ditakutkan pemerintah di balik\xe2\x80\xa6 https://t.co/XJgYnlyXv7'""";;;
2021-05-22 16:24:02,b'@chiloey_ Padahal udah ada larangan mudik \xf0\x9f\xa4\xaa';;;
"2021-05-22 16:19:35,""b'Penumpang Angkutan Umum di Jakarta Naik 7,8 Persen Usai Larangan Mudik https://t.co/8O3esdrEDI #TempoMetro'""";;;
"2021-05-22 15:56:09,""b'@kennol61 @alextham878 membiarkan kata""""yg patut di garis bawahi_!!";"apa kabar dengan larangan mudik lebaran dr pemer\xe2\x80\xa6 https://t.co/IitrRTTsyX'""";;
"2021-05-22 15:32:08,""b'RT @blogombal: Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak simpel itu\xe2\x80\xa6'""";;;
"2021-05-22 15:06:12,""b'RT @dishub_aceh: Tahun ini, Pemerintah resmi melarang mudik lebaran dalam rangka pencegahan penyebaran Covid-19. Kementerian Perhubungan RI\xe2\x80\xa6'""";;;
"2021-05-22 15:05:10,""b'RT @dishub_aceh: Pasca terbitnya Surat Edaran Satgas Covid-19 No. 13 Tahun 2021 tentang larangan mudik lebaran 1442 Hijriah, sejumlah loket\xe2\x80\xa6'""";;;
"2021-05-22 15:04:39,""b'RT @dishub_aceh: Diinformasikan, mulai nanti malam pukul 00.00 WIB, Dishub Aceh Tamiang memperketat perbatasan Aceh-Sumut guna mencegah pen\xe2\x80\xa6'""";;;
"2021-05-22 15:04:11,""b'RT @dishub_aceh: Pengendalian transportasi selama masa larangan mudik lebaran, sesuai Peraturan Menteri Perhubungan No. 13 Tahun 2021, akan\xe2\x80\xa6'""";;;
"2021-05-22 15:03:12,""b'RT @dishub_aceh: Meski larangan mudik telah disosialisasikan jauh-jauh hari, sejumlah kendaraan, baik angkutan umum maupun pribadi masih te\xe2\x80\xa6'""";;;
"2021-05-22 15:01:29,""b'RT @dishub_aceh: Dishub Aceh juga memantau operasional transportasi penyeberangan, yang diperbolehkan beroperasi pada masa larangan mudik,\xe2\x80\xa6'""";;;
2021-05-22 14:55:41,b'#Jumlah #Penumpang di Bandara Angkasa Pura II Turun 91% Selama Larangan #Mudik - https://t.co/0psE45Sdx6\n#Lebaran\xe2\x80\xa6 https://t.co/dBXSMDhleW';;;
"2021-05-22 14:11:56,""b'RT @jokowi: Sekadar informasi, sebelum ada larangan mudik, yang mau mudik di negara ini 89 juta orang, 33% dari penduduk. Begitu mudik dila\xe2\x80\xa6'""";;;
2021-05-22 13:31:32,b'RT @Popmama_com: Yuk simak jika ingin melakukan perjalanan setelah lebaran https://t.co/ILerIuINJs';;;
2021-05-22 13:23:38,b'RT @Lantas_lamteng: Giat Pers Satlantas Melaksanakan Pemeriksaan Kendaraan dan Pengetatan Pemudik Pasca Larangan Mudik Tahun 2021 Kepada Ma\xe2\x80\xa6';;;
"2021-05-22 13:23:32,""b'@gilbhas Tambahan bang, makam/tpu pada ditutup selama larangan mudik, mall tetep buka https://t.co/zN6lLswNQc'""";;;
"2021-05-22 12:54:52,""b'RT @MMC_IDN2: Saat ada larangan mudik lebaran, pemerintah justru membuka tempat wisata. Para ahli kesehatan, telah mengingatkan bahwa pembu\xe2\x80\xa6'""";;;
"2021-05-22 12:00:16,""b'Saat ada kebijakan larangan mudik lebaran, pemerintah justru membuka tempat wisata. Para ahli kesehatan terutama ep\xe2\x80\xa6 https://t.co/D1p2RIWjA8'""";;;
"2021-05-22 11:08:56,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
"2021-05-22 11:00:03,""b'Larangan Mudik Cukup Ampuh Tekan Covid, Angka Penularan Terkendali https://t.co/hd2uvGPTWJ'""";;;
2021-05-22 10:40:01,b'RT @KejaksaanRI: 1. Jaksa Agung RI ST Burhanuddin menyampaikan arahannya kepada seluruh pegawai Kejaksaan untuk tidak mudik selama libur le\xe2\x80\xa6';;;
"2021-05-22 10:39:42,""b'RT @KejaksaanRI: Kepada seluruh jajaran Kejaksaan di seluruh Indonesia:\n\n\xe2\x80\x9cSelama masa liburan lebaran idulfitri 1442 H, saya perintahkan ag\xe2\x80\xa6'""";;;
"2021-05-22 10:32:11,""b'Jumlah pengunjung Pasar Tanah Abang, Jakarta Pusat, diperkirakan mencapai 100.000 orang, Minggu (2/5/2021). Salah s\xe2\x80\xa6 https://t.co/5RZofWnMWm'""";;;
"2021-05-22 10:26:13,""b'@JatimPemprov @KhofifahIP Saya menghargai permintaan maaf bu Gub/pemprov jatim\nBagi saya, adanya acara itu, baik dg\xe2\x80\xa6 https://t.co/KCmnF9Gf7y'""";;;
"2021-05-22 10:24:54,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
2021-05-22 10:23:47,b'Warga Bandung pro Israel karena masih larangan mudik Warga Jakarta pro Palestina Warga Jakarta penyekatan mudik karena Jakarta pro Palestina';;;
"2021-05-22 10:14:29,""b'Larangan Mudik Membuat Rest Area Tol Solo-Ngawi Sepi, Pemilik Kios Manfaatkan untuk Olahraga https://t.co/UlaBDQGvTI'""";;;
"2021-05-22 10:02:56,""b'Melaksanakan kegiataan pos pantau dan penyekatan larangan mudik lebaran,demi mencegah penyebaran covid-19 https://t.co/priPJRCioZ'""";;;
2021-05-22 09:53:41,b'@jokowi Tahun depan (2022) masih ada Larangan Mudik nga ? Biar jelas neh jauh jauh hari  ...';;;
2021-05-22 09:24:06,b'@zxzima Kan ada larangan mudik boy';;;
"2021-05-22 09:04:21,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
2021-05-22 09:00:28,b'Nih menko koq offside klo bikin program yak...perlonggar tuch aturan jgn pake acara larangan2 kayak larangan mudik\xe2\x80\xa6 https://t.co/G8Wpz7jYX6';;;
"2021-05-22 08:57:44,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
2021-05-22 08:54:46,b'JOG perbatasan / prambanan emng masih ad pembatasan larangan mudik y?';;;
"2021-05-22 08:48:59,""b'Percuma ada larangan mudik,klo kyk gini bobol jg..angel wes angel\nhttps://t.co/MqfoZ2NByd\n\nUmat Islam tergabung Ali\xe2\x80\xa6 https://t.co/zkPD4hOlIN'""";;;
2021-05-22 08:42:32,b'Tabir di Balik Larangan Mudik\n\nhttps://t.co/9ENax58Ls8\n\nTernyata aturan buatan manusia tidak memberikan solusi teta\xe2\x80\xa6 https://t.co/dZoybNCB4d';;;
2021-05-22 08:41:36,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/93qkkU8U2R';;;
2021-05-22 08:39:48,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/NXhPmaKMSZ';;;
2021-05-22 08:29:12,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19 #VaksinAman #IndonesiaSehat';;;
2021-05-22 08:28:55,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/WzcHoapXAy';;;
2021-05-22 08:28:01,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19 #VaksinAman #IndonesiaSehat';;;
"2021-05-22 08:27:26,""b'Larangan Mudik Usai, 5.856 Kendaraan Masuk Jakarta via GT Cikatama https://t.co/ofb4mJMKkj'""";;;
2021-05-22 08:27:09,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/nnd0UCPOqc';;;
2021-05-22 08:27:08,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/26KMi71sFe';;;
2021-05-22 08:27:07,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/Yhm8UNf6lZ';;;
"2021-05-22 08:26:46,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
"2021-05-22 08:19:16,""b'@patra_aad Kami informasikan mulai Selasa, 18 Mei 2021 KAI Commuter kembali mengoperasikan layanan KRL hingga pukul\xe2\x80\xa6 https://t.co/8WQJkaFy6v'""";;;
"2021-05-22 08:18:54,""b'@nxixaxvv Selamat sore. Kami informasikan mulai Selasa, 18 Mei 2021 KAI Commuter kembali mengoperasikan layanan KRL\xe2\x80\xa6 https://t.co/t2lmlRQgUX'""";;;
"2021-05-22 08:10:34,""b'Penumpang Gelap Kalsel, Petugas Pelabuhan Banjarmasin Temukan Sejumlah Penumpang  https://t.co/uuQOALiL4E'""";;;
2021-05-22 08:07:53,b'Sebanyak 338 pelaku perjalanan dinyatakan positif Covid-19 hasil penyekatan larangan mudik di sejumlah titik di Lam\xe2\x80\xa6 https://t.co/kFwAldDSZP';;;
"2021-05-22 08:04:24,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
"2021-05-22 07:59:53,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
2021-05-22 07:55:49,b'Iya kamu pro larangan mudik da bisa Lebaran jeng kolot di imah.';;;
2021-05-22 07:54:41,b'Tabir di Balik Larangan Mudik\n\nhttps://t.co/9xSYAPW6z0\n\nTernyata aturan buatan manusia tidak memberikan solusi teta\xe2\x80\xa6 https://t.co/YjxdsJMoUY';;;
"2021-05-22 07:42:53,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
2021-05-22 07:29:30,b'KAI: Penumpang KA Jarak Jauh Melonjak Usai Larangan Mudik Lebaran 2021\nhttps://t.co/y8uYjAyXo6\n\n#BeritaSonora via @tribunnews';;;
"2021-05-22 07:25:49,""b'Bagi pemilik kendaraan dari luar kota dari arah Bontang, Sangatta dan sekitarnya, yang tidak bisa menunjukkan dokum\xe2\x80\xa6 https://t.co/ce35HuRosY'""";;;
"2021-05-22 07:23:17,""b'RT @perupadata: Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis.\n\nData\xe2\x80\xa6'""";;;
"2021-05-22 07:21:12,""b'Segera setelah larangan mudik berakhir, moda-moda transportasi langsung mengalami lonjakan penumpang secara drastis\xe2\x80\xa6 https://t.co/yomA5uAICK'""";;;
2021-05-22 07:08:45,b'KAI: Penumpang KA Jarak Jauh Melonjak Usai Larangan Mudik Lebaran 2021\n \nhttps://t.co/hWO4nHCI25';;;
2021-05-22 07:08:27,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/yzxmmtyM3t';;;
2021-05-22 07:08:27,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/i0kJDUxBkJ';;;
2021-05-22 07:08:25,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/Im8kFsl9Lx';;;
2021-05-22 07:08:24,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/OCRKlLyyVb';;;
2021-05-22 07:08:23,b'Larangan mudik menjadi aturan yang sesuai dengan masa pandemi Covid-19\n#TundaMudik #diRumahAja #CegahCovid19\xe2\x80\xa6 https://t.co/v9AMZ09c17';;;
"2021-05-22 07:02:25,""b'RT @Satria180806: Rilis Media\nKetua DPR RI Dr. (H. C) Puan Maharani\nRabu, 12 Mei 2021\n\nPuan: Demi Keadilan, Kedatangan WNA Ditunda Selama B\xe2\x80\xa6'""";;;
"2021-05-22 06:46:29,""b'RT @LokadataID: Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak simpel itu\xe2\x80\xa6'""";;;
2021-05-22 06:33:00,b'Pers Polsek kotarih melks pengamanan dan pos pelayanan pd operasi kepolisian terpusat ketupat Toba 2021 selama 1x12\xe2\x80\xa6 https://t.co/m2kDgesM7c';;;
2021-05-22 06:31:20,b'@kimiiikkk Pada periode pasca larangan mudik apabila ingin melakukan perjalanan pada tanggal 18 - 24 Mei 2021 wajib\xe2\x80\xa6 https://t.co/A8rRYAlHSo';;;
2021-05-22 06:28:27,b'Pers Polsek kotarih melks pengamanan dan pos pelayanan pd operasi kepolisian terpusat ketupat Toba 2021 selama 1x12\xe2\x80\xa6 https://t.co/FGDubNj03G';;;
2021-05-22 06:24:01,b'Pakar kebijakan publik menyebut pelarangan mudik sebagai upaya pemerintah mencegah penyebaran Covid-19 sudah keting\xe2\x80\xa6 https://t.co/nK8pkL0Kr6';;;
"2021-05-22 06:12:11,""b'RT @LokadataID: Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak simpel itu\xe2\x80\xa6'""";;;
"2021-05-22 06:08:06,""b'Larangan Mudik Berakhir, Stasiun Gambir Tampak Lengang Pagi Ini https://t.co/bAnWFw35JP'""";;;
"2021-05-22 06:06:17,""b'Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak si\xe2\x80\xa6 https://t.co/eAaAEY8PnW'""";;;
"2021-05-22 06:01:45,""b'RT @blogombal: Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak simpel itu\xe2\x80\xa6'""";;;
"2021-05-22 05:59:46,""b'Masalahnya sederhana: masa larangan selesai, pemudik yang lolos maupun berangkat lebih awal akan balik. Yang tak si\xe2\x80\xa6 https://t.co/oo4zLx2yTy'""";;;
"2021-05-22 05:56:34,""b'Larangan Mudik Berakhir, PO Bus di Wonogiri Masih Krisis Penumpang https://t.co/REq5VsV06h'""";;;
"2021-05-22 05:53:02,""b'@tjahjo_kumolo Salam Hormat dari saya pak? Saya ingin bertanya, sanksi apakah yang akan diterima, ASN yang nekat un\xe2\x80\xa6 https://t.co/jBNFOe1EGs'""";;;
